id,source,category,question,answer,modified
247,한국교통안전공단,도로자격(화물·버스·택시·정밀),운전적성정밀검사 예약은 어떻게 하나요?,"■ 운전적성정밀검사는 예약제로 운영되어 당일 여석이 없는 경우, 방문접수는 불가하니 반드시 사전예약 후 수검하시기 바랍니다.
■ 예약 및 취소
 1. 인터넷(TS국가자격시험 : https://lic.kotsa.or.kr) 예약 : 운전적성정밀검사 - 정밀검사 신청 - 신규검사 / 특별검사 / 자격유지검사 선택 - 실명인증 - 예약진행 - 검사장, 검사구분(신규, 특별, 자격유지), 검사시간을 정확히 확인 후 선택 - 업종구분 : 취업희망 업종 선택 예약확인 및 변경/취소 : 포털로그인 - 본인인증 - 마이페이지 - 운전적성정밀검사 예약내역 확인
 2. 고객콜센터(1577-0990) 예약 : 평일 09:00 - 18:00
■ 예약운영 검사장 운전적성정밀검사 : 평일 1일 2회(오전/오후) 또는 1일 1회 시행, 전국 19개 검사장 및 이동검사차량 2대
 ※ 검사장 사정에 따라 변경사항이 있을 수 있으니 확인 필요
■ 참고사항
 1. 도착시간 : 검사시작 20분 전까지 도착하여 접수 후 수검
 2. 검사시간 : 약 150분 소요(자격유지검사 120분)
 3. 종합판정표 발급 : 검사 종료 후 즉시, 재발급은 현장 또는 인터넷 모두 가능",2025-09-09
365,한국교통안전공단,자동차검사,자동차검사 사전안내 신청 가능 할까요?,저희 공단 대표 홈페이지( www.kotsa.or.kr)에서 가능합니다. 고객참여→서비스신청→자동차(이륜차)검사 기간 안내서비스에서 신청 하시면 됩니다.,2022-04-29
366,한국교통안전공단,자동차검사,자동차(이륜차)검사 기간을 확인 할수 있나요?,PC 인터넷 검색창에서 한국교통안전사이버검사소 검색→자동차검사정보조회→검사유효기간 조회에서 확인 가능합니다.,2022-04-29
238,한국교통안전공단,자동차검사,해외출국이나 코로나등의 이유로 인한 자동차 검사유효기간 연장신청은?,"해외출국이나 코로나 자가격리로 인해(도난, 압류 장기간의 자동차정비, 그밖의 부득이한 사유포함) 자동차검사가 불가능한 경우 해당관청에 문의하시어 검사유효기간을 연장하셔야 합니다. 이에 따라 자동차검사유효기간의 연장 또는 자동차검사의 유예를 받으려는 자는 [별지 제45호서식] 검사유효기간연장(검사유예)신청서에 자동차등록증과 그 사유를 증명하는 서류를 첨부하여 ""시ㆍ도지사"" 에게 제출하여야 합니다. 자동차검사 유효기간 연장은 자동차등록사업소나 해당관청 교통과에서 진행하고 있습니다.",2025-09-09
421,한국교통안전공단,자동차튜닝,자동차/이륜차 튜닝승인 신청은 어디에서 하나요?,"사이버검사소(www.cyberts.kr)에서 가능합니다.
* PC에서만 튜닝승인 신청이 가능하며 모바일에서 튜닝승인 신청은 불가함을 알려드립니다.
참고 영상 [자동차 예시]
참고 영상 [이륜자동차 예시]",2022-04-29
340,한국교통안전공단,일반공통,자동차 등록원부를 열람 / 발급하고 싶어요,"자동차 등록원부의 열람 및 발급을 원하시는 경우 가까운 시,군,구청을 방문하시거나, 자동차365(www.car365.go.kr) 또는 정부24(plus.gov.kr)에서 자동차소유자의 성명과 자동차등록번호를 입력하면 무료로 자동차 등록원부 열람 및 발급이 가능합니다. 추가 문의사항은 자동차365 대표전화(1566-4682)로 문의하시기 바랍니다.",2025-08-12
461,한국교통안전공단,도로안전,개인택시면허 양수교육 교육 신청일은 언제 확인할 수 있나요?,"■ 개인택시운송사업 면허의 양수요건 등 관련 교통안전교육에 관한 고시(국토교통부고시 제2023-377호)에 따라 교통안전교육 실시 20일 전 공고를 합니다.
■ 단, 교육의 연간 횟수, 중요도, 교육 희망 수요 등을 고려하여 20일 전보다 이르게 공고를 해드릴 수도 있는 점 참고해주시기 바랍니다.
※ 공고 날짜의 변동으로 인해 예상 교육 접수일이 바뀌지 않음) 공고는 한국교통안전공단의 인터넷 홈페이지에 게재를 해드리며, 공지사항 및 홈페이지 접속 시 팝업(새 창)을 통해 확인이 가능합니다.",2025-09-09
242,한국교통안전공단,자동차검사,안개등 미점등될 경우 자동차검사시 부적합인지?,"자동차검사는 「자동차관리법 시행규칙」 제73조와 관련한 [별표15] 자동차검사기준 및 방법에 따라 검사를 진행하며, 검사결과에 대해서는 「자동차관리법 시행규칙」 제80조제2항에 따라 적합(시정권고 포함) 또는 부적합 판정을 할 수 있습니다 안개등의 경우, 안전기준에 적합한 등화(순정부품 등)일 경우 단순 미점등에 대해서는 부적합이 아닌 시정권고 사항입니다.",2025-09-09
480,한국교통안전공단,도로자격(화물·버스·택시·정밀),"사업용운전자격증(화물,버스,택시) 재발급은 어떻게 하나요?","■ 자격증 재발급은 인터넷 신청과 지역본부 방문 신청 두 가지 방법이 있습니다.
1. 인터넷 재발급 신청 : TS국가자격시험(lic.kotsa.or.kr)
※ 자격증 취득사항이 확인되는 자에 한함(마이페이지 자격증 보유 내역에서 확인 가능), 자격증 미확인 시 고객콜센터(1577-0990)로 문의
2. 지역본부 방문신청 : 한국교통안전공단 지역본부 및 일부 검사소에서 발급가능
※ 단, 사업용운전자격증(화물,버스,택시) 취득 후 면허취소 이력이 확인될 경우 자격증 재발급이 불가할 수 있습니다.

■ 필요서류
1. 수수료 : 10,000원(카드결제 가능)
2. 운전면허증
3. 사진(반명함판, 최근 6개월 이내 사진)
4. 전체기간 운전경력증명서(자격증 취득 후 사업용 자동차를 운행하지 않았을 경우 해당), 전체기간 운전경력증명서 발급 방법 : 경찰서, 정부24사이트",2025-09-09
250,한국교통안전공단,도로자격(화물·버스·택시·정밀),운전적성정밀검사 끝나고 종합판정표를 바로 받을 수 있나요?,"종합판정표 발급은 검사 종료 후 당일에 바로 가능합니다.

■ 종합판정표 재발급 안내발급장소 : 전국 19개 운전적성정밀검사장 및 한국교통안전공단 산하 59개 자동차 검사소
1. 발급장소 안내 : TS국가자격시험 홈페이지( → 판정표/수검사실증명서 발급안내 → 종합판정표 재발급 → 본인인증 후 재발급)
2. 준비물 : 신분증, 수수료(1,000원)
3. 소요시간 : 즉시
※ 본인이 직접 신청하여야 하며, 대리 발급시 위임장(자료실에서 다운로드)과 본인 및 대리인 신분증을 지참하여 방문시 대리인에게 발급",2025-09-09
331,한국교통안전공단,자동차검사,주행거리계 고장확인서를 발급받고자 하는경우 무조건 공단 검사소를 방문해야되는지?,"주행거리의 변경과 관련하여서는 「자동차관리법」 제71조제2항에서 “② 누구든지 자동차의 주행거리를 변경하여서는 아니 된다. 다만, 고장 또는 파손 등 대통령령으로 정하는 불가피한 사유로 변경하는 경우에는 그러하지 아니하다.”과 같이 정하고 있으며, “대통령령으로 정하는 불가피한 사유”는 같은 법 시행령 제14조의6에서 다음과 같이 정하고 있습니다.

1. 교통사고로 주행거리계가 고장나거나 파손된 경우(경찰서 또는 보험회사에서 발급하는 교통사고 사실에 관한 증명서가 있는 경우에 한한다)
2. 침수ㆍ낙뢰 등 자연재해로 주행거리계가 고장나거나 파손된 경우(「자연재해대책법」 제74조제1항에 따른 관련 행정기관의 사실확인이 있는 경우에 한한다)
3. 다음 각 목의 어느 하나에 해당하는 경우로서 자동차검사대행자의 확인을 받은 경우
 가. 주행거리계와 분리할 수 없는 일체형으로 구성된 연료계 또는 속도계 등이 고장나거나 파손되어 해당 장치를 교체하려는 경우
 나. 제1호 또는 제2호 외의 사유로 주행거리계가 고장나거나 파손된 경우

제3호에 해당하는 경우 위변조등의 차량거래질서를 위협하는 중대한 위험이 있는 만큼 공단에서 실차 확인 후 주행거리계 고장확인서를 발급하고 있으며, 주행거리계 교체 후 해당 내용을 지자체에 보고해야합니다. 고장확인 절차의 편의성을 위해 신분증 지참시 대리인이 검사소를 방문 하더라도 주행거리 계기판의 고장확인은 가능합니다. 다만 검사소에서 고장확인시 고장 구현이 되지 않을경우 주행거리계 고장확인 절차는 불가능함을 안내드립니다.",2025-09-09
255,한국교통안전공단,자동차검사,민간검사소의 관리주체,현재 자동차 검사는 자동차검사대행자(한국교통안전공단)와 지정정비사업자(민간)로 구분됩니다. 민간검사소에 대한 관리·감독 업무는 「자동차관리법 시행령」 제17조에 따라 국토교통부장관으로부터 권한을 위임받은 해당 지역의 시·도지사가 담당하고 있습니다.,2025-09-09
245,한국교통안전공단,드론안전,"무인동력비행장치(무인멀티콥터, 무인헬리콥터, 무인비행기, 무인수직이착륙기) 3종은 어떻게 취득하나요?","취득하시려는 종류에 맞는 ①학과시험 합격 후, ②응시자격신청을 하셔야 됩니다.
②응시자격신청 후 '부여'를 받아야 ③자격증 신청(취득)이 가능합니다. TS국가자격시험(lic.kotsa.or.kr) 접속하여 항공자격 메뉴에서 ① 학과시험접수② 응시자격신청③ 자격증 신청
(응시자격을 부여받은 당일 18시 이후에 자격증 신청 가능)",2025-08-28
184,한국교통안전공단,자동차튜닝,튜닝승인 절차가 궁금합니다.,"1. 튜닝승인
 - (차량 소유자 또는 대리인) 사이버검사소를 통한 튜닝승인신청
 - (공단 담당자) 자동차 안전기준 및 타법령에 적합한 경우 승인서 발급
2. 튜닝작업
 - (자동차정비사업자, 튜닝작업이 허가된 제작자) 승인된 내용과 동일하게 튜닝작업
 - (자동차정비사업자, 튜닝작업이 허가된 제작자) 튜닝작업내용 전산 입력
3. 튜닝검사
 - (공단검사소) 튜닝작업이 안전기준 등에 적합 여부 확인
 - (공단검사소) 튜닝 내역 전산 입력

* 튜닝작업은 튜닝승인 이후 자동차정비업자 또는 한국교통안전공단의 튜닝작업 확인을 받은 자동차제작자만 가능
* 이륜차의 경우 작업완료등록 절차 생략",2025-08-26
388,한국교통안전공단,도로자격(화물·버스·택시·정밀),화물자격시험 합격자 교육은 꼭 받아야 하나요?,"■ 화물자동차운수사업법 제8조제1항제3호에 의해 필기시험에 합격한 사람은 8시간 동안 교통안전공단에서 실시하는 합격자 교육을 받아야 하며, 합격자 교육을 받지 않으시면 화물운송종사 자격증을 취득하실 수 없습니다.
 1. 합격자 교육의 유효기간은 없지만, 교육 수료 전의 기간에 도로교통법에 의해 운전면허가 취소된 경우에는 교육을 수료 받으신다 하더라도 필기시험 합격 및 교육수료가 취소됨을 알려드립니다.
 2. 기타 궁금하신 사항은 홈페이지나 고객콜센터(1577-0990)로 문의하시기 바랍니다.",2025-09-09
254,한국교통안전공단,자동차검사,지정정비사업자의 자동차검사 비용 책정 근거 법령,"「자동차관리법」 제76조에서 ""제45조제1항에 따른 정기검사, 제45조의2제1항에 따른 종합검사는 그 업무를 대행 또는 위탁받은 자가 정하는 수수료를 그 대행 또는 위탁받은 자에게 내야 한다."" 라고 규정되어 있으므로 지정정비사업자(민간 정비업체에서 운영하는 검사소)의 자동차검사비용은 사업주가 정하고 있음을 안내드립니다.",2025-09-09
